binary_stem,gt_source_id,label,function_name,address,address_hex,address_status,notes,source_file,map_file
cve_2018_16525_freertos_dns,R1,MMIO_READ,ETH_ReadFrame,1073909760,0x40029000,resolved,ETH RX FIFO read,cve_2018_16525_freertos_dns.c,cve_2018_16525_freertos_dns.map
cve_2020_10065_hci_spi,R1,MMIO_READ,bt_spi_transceive,1073819660,0x4001300c,resolved,SPI1 data register read,cve_2020_10065_hci_spi.c,cve_2020_10065_hci_spi.map
cve_2021_34259_usb_host,R1,MMIO_READ,USB_ReadPacket,1342181376,0x50001000,resolved,USB FIFO read,cve_2021_34259_usb_host.c,cve_2021_34259_usb_host.map
t0_copy_sink,R1,MMIO_READ,uart_read_byte,1073811456,0x40011000,resolved,USART SR polling read,t0_copy_sink.c,t0_copy_sink.map
t0_copy_sink,R2,MMIO_READ,uart_read_byte,1073811460,0x40011004,resolved,USART DR read,t0_copy_sink.c,t0_copy_sink.map
t0_dma_backed_buffer,R1,DMA_BACKED_BUFFER,dma_uart_rx_init,1073872896,0x40020000,resolved,DMA-backed RX buffer configured,t0_dma_backed_buffer.c,t0_dma_backed_buffer.map
t0_dma_length_overflow,R1,MMIO_READ,main,1073872988,0x4002005c,resolved,DMA status/poll register read,t0_dma_length_overflow.c,t0_dma_length_overflow.map
t0_dma_length_overflow,R2,MMIO_READ,dma_start_rx,1073811460,0x40011004,resolved,USART DR read during DMA path,t0_dma_length_overflow.c,t0_dma_length_overflow.map
t0_dma_length_overflow,R3,MMIO_READ,uart_read_word,1073811456,0x40011000,resolved,USART SR read,t0_dma_length_overflow.c,t0_dma_length_overflow.map
t0_dma_length_overflow,R4,MMIO_READ,uart_read_word,1073811460,0x40011004,resolved,USART DR read,t0_dma_length_overflow.c,t0_dma_length_overflow.map
t0_dma_length_overflow,R5,DMA_BACKED_BUFFER,dma_start_rx,1073872896,0x40020000,resolved,DMA-backed buffer config,t0_dma_length_overflow.c,t0_dma_length_overflow.map
t0_format_string,R1,MMIO_READ,uart_read_byte,1073811456,0x40011000,resolved,USART SR polling read,t0_format_string.c,t0_format_string.map
t0_format_string,R2,MMIO_READ,uart_read_byte,1073811460,0x40011004,resolved,USART DR read,t0_format_string.c,t0_format_string.map
t0_func_ptr_dispatch,R1,MMIO_READ,uart_read_byte,1073811456,0x40011000,resolved,USART SR polling read,t0_func_ptr_dispatch.c,t0_func_ptr_dispatch.map
t0_func_ptr_dispatch,R2,MMIO_READ,uart_read_byte,1073811460,0x40011004,resolved,USART DR read,t0_func_ptr_dispatch.c,t0_func_ptr_dispatch.map
t0_indirect_memcpy,R1,MMIO_READ,spi_read_byte,1073759232,0x40004400,resolved,SPI SR read,t0_indirect_memcpy.c,t0_indirect_memcpy.map
t0_indirect_memcpy,R2,MMIO_READ,spi_read_byte,1073759236,0x40004404,resolved,SPI DR read,t0_indirect_memcpy.c,t0_indirect_memcpy.map
t0_isr_filled_buffer,R1,ISR_MMIO_READ,USART1_IRQHandler,1073811456,0x40011000,resolved,ISR status read,t0_isr_filled_buffer.c,t0_isr_filled_buffer.map
t0_isr_filled_buffer,R2,ISR_MMIO_READ,USART1_IRQHandler,1073811460,0x40011004,resolved,ISR data read,t0_isr_filled_buffer.c,t0_isr_filled_buffer.map
t0_isr_filled_buffer,R3,ISR_FILLED_BUFFER,USART1_IRQHandler,536870912,0x20000000,resolved,ISR-filled shared RX buffer,t0_isr_filled_buffer.c,t0_isr_filled_buffer.map
t0_isr_mmio_read,R1,ISR_MMIO_READ,USART1_IRQHandler,1073811456,0x40011000,resolved,ISR status read,t0_isr_mmio_read.c,t0_isr_mmio_read.map
t0_isr_mmio_read,R2,ISR_MMIO_READ,USART1_IRQHandler,1073811460,0x40011004,resolved,ISR data read,t0_isr_mmio_read.c,t0_isr_mmio_read.map
t0_mmio_read,R1,MMIO_READ,uart_enable_rx,1073811468,0x4001100c,resolved,USART CR1 read,t0_mmio_read.c,t0_mmio_read.map
t0_mmio_read,R2,MMIO_READ,uart_read_byte,1073811456,0x40011000,resolved,USART SR polling read,t0_mmio_read.c,t0_mmio_read.map
t0_mmio_read,R3,MMIO_READ,uart_read_byte,1073811460,0x40011004,resolved,USART DR read,t0_mmio_read.c,t0_mmio_read.map
t0_store_loop_sink,R1,MMIO_READ,spi_read_byte,1073759232,0x40004400,resolved,SPI SR read,t0_store_loop_sink.c,t0_store_loop_sink.map
t0_store_loop_sink,R2,MMIO_READ,spi_read_byte,1073759236,0x40004404,resolved,SPI DR read,t0_store_loop_sink.c,t0_store_loop_sink.map
t0_uart_rx_overflow,R1,MMIO_READ,uart_read_byte,1073811456,0x40011000,resolved,USART SR polling read,t0_uart_rx_overflow.c,t0_uart_rx_overflow.map
t0_uart_rx_overflow,R2,MMIO_READ,uart_read_byte,1073811460,0x40011004,resolved,USART DR read,t0_uart_rx_overflow.c,t0_uart_rx_overflow.map
